browser,page,viewport,viewportType,httpStatus,cssLoaded,logoVisible,headerFits,callNowVisible,callNowClipped,getQuoteVisible,getQuoteClipped,navVisible,navClipped,menuVisible,menuClipped,noHorizontalScroll,marqueeFits,heroContentSafe,heroImageSafe,cardsDoNotClip,stickyCtaOk,footerReadable,scrollWidth,clientWidth,h1Text,screenshot,result,notes
Chromium,/services/point-of-attachment-repairs-sydney/,1600x900,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1600,1600,Point of Attachment Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/switchboard-upgrades-sydney/,1600x900,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1600,1600,Switchboard Upgrades Sydney & Surrounding Regions,,PASS,
Chromium,/service-areas/,1600x900,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1600,1600,Electricians Across Sydney & Surrounding Regions,,PASS,
Chromium,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1600x900,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1600,1600,Electrician Panania 2213,,PASS,
Chromium,/service-areas/sydney-city-and-eastern-suburbs/randwick/coogee/,1600x900,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1600,1600,Electrician Coogee 2034,,PASS,
Chromium,/privacy-policy/,1600x900,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1600,1600,Privacy Policy,,PASS,
Chromium,/terms/,1600x900,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1600,1600,Terms of Use,,PASS,
Chromium,/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Emergency electrical fault? Call now — 0461 247 247,,PASS,
Chromium,/emergency-electrician-sydney/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Emergency electrical fault? Call now — 0461 247 247,,PASS,
Chromium,/level-2-electrician-sydney/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Level 2 Electrician Sydney & Surrounding Regions,,PASS,
