route,viewport,httpStatus,cssLoaded,sealPresent,sealHuge,sealOverflow,carouselPresent,carouselOverflow,redSurfaceCount,callLooksRed,quoteLooksBlue,redAccentPresent,horizontalOverflow,stickyOverFooter,googleAdsPresent,phoneTrackingPresent,quoteTrackingPresent,fakeSchemaApiPresent,issues,screenshot
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1920x1080,200,true,true,false,false,false,false,47,true,true,true,false,false,true,true,true,false,,
/privacy-policy/,360x800,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/privacy-policy/,390x844,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\privacy-policy-390x844.png
/privacy-policy/,412x915,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/privacy-policy/,430x932,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/privacy-policy/,768x1024,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/privacy-policy/,820x1180,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/privacy-policy/,1024x768,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/privacy-policy/,1366x768,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\privacy-policy-1366x768.png
/privacy-policy/,1440x900,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/privacy-policy/,1920x1080,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/terms/,360x800,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/terms/,390x844,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\terms-390x844.png
/terms/,412x915,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/terms/,430x932,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/terms/,768x1024,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/terms/,820x1180,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/terms/,1024x768,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/terms/,1366x768,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,C:\Users\Admin\evaready-electrical\reports\google-seal-reviews-red-theme-screenshots\terms-1366x768.png
/terms/,1440x900,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
/terms/,1920x1080,200,true,false,false,false,false,false,37,true,true,true,false,false,true,true,true,false,,
