route,viewport,httpStatus,heroType,hasHero,expectedVan,vanPresent,heroWidth,heroHeight,beforeHasVan,beforeOpacity,beforeBackgroundSize,beforeBackgroundPosition,homeImageLoaded,overflowX,issue
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/picnic-point,desktop-1440,200,internal,yes,yes,yes,1440,950,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/picnic-point,mobile-390,200,internal,yes,yes,yes,390,1162,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/potts-hill,desktop-1440,200,internal,yes,yes,yes,1440,978,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/potts-hill,mobile-390,200,internal,yes,yes,yes,390,1229,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/punchbowl,desktop-1440,200,internal,yes,yes,yes,1440,982,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/punchbowl,mobile-390,200,internal,yes,yes,yes,390,1229,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby,desktop-1440,200,internal,yes,yes,yes,1440,922,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby,mobile-390,200,internal,yes,yes,yes,390,1117,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby-heights,desktop-1440,200,internal,yes,yes,yes,1440,1010,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby-heights,mobile-390,200,internal,yes,yes,yes,390,1288,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/riverwood,desktop-1440,200,internal,yes,yes,yes,1440,978,yes,1,cover,100% 50%,no,no,
