route,viewport,status,error,h1Count,horizontalOverflow,scrollWidth,headerExists,headerClips,stripExists,stripClips,stickyExists,stickyClips,heroExists,phoneCta,quoteCta,adsTag,failedImages
/services/,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/service-areas/,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/services/pre-purchase-rental-electrical-inspections-sydney/,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/services/hot-water-system-electrician-sydney/,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/services/split-system-air-conditioning-sydney/,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/services/switchboard-upgrades-sydney/,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/services/consumer-mains-sydney/,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/service-areas/sydney-city-and-eastern-suburbs/randwick/coogee/,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/service-areas/western-sydney-and-nepean/blacktown/blacktown/,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/privacy-policy/,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/terms/,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/404.html,834x1194,200,,1,false,834,true,false,true,false,true,false,true,true,true,true,
/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/about/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/contact/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/solar-batteries/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/emergency-electrician-sydney/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
