file,type,raw bytes,gzip bytes,route or asset group,over 500 KB yes/no,over 1 MB yes/no,duplicate content hash yes/no,optimisation recommendation,notes
service-areas/northern-beaches/northern-beaches/forestville/index.html,html,393777,45143,route html,no,no,no,ok,
service-areas/sutherland-shire/sutherland-shire/royal-national-park/index.html,html,393772,45418,route html,no,no,no,ok,
service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby-heights/index.html,html,393771,45480,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/koonawarra/index.html,html,393759,45006,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/shell-cove/index.html,html,393758,45508,route html,no,no,no,ok,
service-areas/parramatta-and-cumberland/cumberland/wentworthville/index.html,html,393746,44782,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/woollahra/darling-point/index.html,html,393746,45285,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/narrabeen/index.html,html,393707,45274,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/haywards-bay/index.html,html,393696,44776,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/narraweena/index.html,html,393687,45043,route html,no,no,no,ok,
service-areas/macarthur-camden-and-wollondilly/campbelltown/minto-heights/index.html,html,393683,45682,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hawkesbury/kurrajong-hills/index.html,html,393662,45469,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/waverley/bondi/index.html,html,393639,45984,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/newport/index.html,html,393633,45322,route html,no,no,no,ok,
service-areas/parramatta-and-cumberland/cumberland/south-granville/index.html,html,393616,45149,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/horsfield-bay/index.html,html,393607,45229,route html,no,no,no,ok,
service-areas/parramatta-and-cumberland/cumberland/merrylands-west/index.html,html,393595,45395,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/brownsville/index.html,html,393580,44824,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hornsby/pennant-hills/index.html,html,393578,45320,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/blacktown/shanes-park/index.html,html,393569,45075,route html,no,no,no,ok,
service-areas/macarthur-camden-and-wollondilly/wollondilly/belimbla-park/index.html,html,393560,45535,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/blacktown/ropes-crossing/index.html,html,393556,45071,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/phegans-bay/index.html,html,393532,45232,route html,no,no,no,ok,
